smiles,tg
[*]CC([*])C(=O)OCc1ccccc1,279
[*]CC([*])C(=O)OC(C)CC,250
[*]CC([*])C(=O)Oc1ccccc1C(C)(C)C,345
[*]CC([*])C(=O)Oc1ccc(C(C)(C)C)cc1,344
[*]CC([*])C(=O)Oc1ccc(cc1)Cl,331
[*]CC([*])C(=O)Oc1ccc(C#N)cc1,317
[*]CC([*])C(=O)OCCC#N,277
[*]CC([*])C(=O)OCCCCCCC#N,358
[*]CC([*])C(=O)OC(C)C#N,339
[*]CC([*])C(=O)OCC(C)C(C)CC,258
[*]CC([*])(C)C(=O)OCCCCCCCCCCCC,270
[*]CC([*])C(=O)Oc1ccccc1C(=O)OCC,303
[*]CC([*])C(=O)Oc1cccc(C(=O)OCC)c1,297
[*]CC([*])C(=O)OCC,249
[*]CC([*])C(=O)OF,288
[*]CC([*])C(=O)OCC(F)(F)C(F)(F)C(=O)C(F)(F)F,218
[*]CC([*])C(=O)OC(F)(C(F)(F)F)C(F)(F)F,283
[*]CC([*])C(=O)OC(C)CCCCC,235
[*]CC([*])C(=O)OCCCCCC,308
[*]CC([*])C(=O)OCCCCCC,216
[*]CC([*])C(=O)OCC(C)OC,217
[*]CC([*])C(=O)Oc1cccc(C(=O)OC)c1,311
[*]CC([*])C(=O)Oc1ccc(C(=O)OC)cc1,340
[*]CC([*])C(=O)Oc1ccc(OC)cc1,324
[*]CC([*])C(=O)Oc1ccc(CCCOC)cc1,198
[*]CC([*])C(=O)OCC(C)CC,241
[*]CC([*])C(=O)OCCC(C)C,228
[*]CC([*])C(=O)OCC(C)CCC,235
[*]CC([*])C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,236
[*]CC([*])C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,238
[*]CC([*])C(=O)OC(CC)CC,267
[*]CC([*])(C)C(=O)OCCc1ccccc1,270
[*]CC([*])C(=O)OCCC,236
[*]CC([*])C(=O)OCCCCCCCCCCCCCC,297
[*]CC([*])C(=O)OCCC(=O)C(F)(F)C(F)F,251
[*]CC([*])C(=O)Oc1cccc(C)c1,298
[*]CC([*])C(=O)Oc1ccccc1C,325
[*]CC([*])C(=O)OCC(F)(F)F,263
[*]CC([*])C(=O)OCCC(=O)CC(F)(F)F,235
[*]CC([*])C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,234
[*]CC([*])C(=O)Oc1ccc(C(=O)OCCCC)cc1,286
[*]CC([*])C(=O)OCCCC#N,233
[*]CC([*])C(=O)OCCC(=O)CC#N,250
[*]CC([*])C(=O)Oc1cccc(N(C)C)c1,320
[*]CC([*])C(=O)Oc1ccc(C(=O)OCC)cc1,310
[*]CC([*])C(=O)OCC(CC)CC,223
[*]CC([*])C(=O)OCCC(=O)CC(F)(F)C(F)(F)C(F)(F)F,228
[*]CC([*])C(=O)OCCCCCCC,213
[*]CC([*])C(=O)OCC(F)(F)C(F)C(F)(F)F,251
[*]CC([*])C(=O)Oc1ccccc1C(=O)OC,319
[*]CC([*])(C)C(=O)OCOCC,223
[*]CC([*])C(=O)OCCCCCCCCC,215
[*]CC([*])C(=O)OCCCCC,216
[*]CC([*])(C)C(=O)Oc1ccccc1,330
[*]CC([*])C(=O)OCCC(=O)CCC(=O)C(F)(F)C(F)F,233
[*]CC([*])C(=O)Oc1ccc(C)cc1,316
[*]CC([*])C(=O)OCC(C#N)CCCCC,389
[*]CC([*])c2ccc(C(=O)c1ccccc1)cc2,371
[*]CC([*])c1ccccc1C(=O)OCCCC,339
[*]CC([*])c1cc(C(C)(C)C)ccc1C,360
[*]CC([*])c1ccc(C(C)CCC)cc1,359
[*]CC([*])c1ccc(C(=O)CCC)cc1,347
[*]CC([*])c1ccc(C(=O)N(CC)CC)cc1,375
[*]CC([*])c1ccccc1CCOC,347
[*]CC([*])c1ccc(C(=O)CCCCC)cc1,339
[*]CC([*])c1ccccc1C(=O)OCCCCCC,318
[*]CC([*])c1ccc(C(=O)OCCCCCC)cc1,339
[*]CC([*])c1ccc(COCC(O)CC)cc1,319
[*]CC([*])c2ccc(/C(Cc1ccccc1)=N/O)cc2,384
[*]CC([*])c1ccc(C(=O)OCC(C)C)cc1,363
[*]CC([*])c1ccccc1COCC(C)(C)C,351
[*]CC([*])c1ccccc1COC(C)C,361
[*]CC([*])c1ccc(COC)cc1,350
[*]CC([*])c1ccc(C(=O)CCCCCCC)cc1,323
[*]CC([*])c2ccc(C(=O)Cc1ccccc1)cc2,351
[*]CC([*])c1ccc(C(=O)OCCC)cc1,365
[*]CC([*])c1ccc(OCCC)cc1,343
[*]CC([*])c2ccc(c1ccc(C)cc1)cc2,372
[*]CC([*])c1ccc(C(=O)CCCC)cc1,343
[*]CC([*])c1ccc(C(C)(O)CCCCC)cc1,364
[*]CC([*])c1ccc(OC)cc1C,358
[*]CC([*])c2ccc(Oc1ccccc1)cc2,373
[*]CC([*])C(=O)Oc2ccc(c1ccccc1)cc2,383
[*]CC([*])C(=O)OCCCC,219
[*]CC([*])C(=O)OC(C)CC,250
[*]CC([*])C(=O)Oc1ccccc1C(C)(C)C,345
[*]CC([*])C(=O)Oc1ccc(C(C)(C)C)cc1,344
[*]CC([*])C(=O)Oc1ccc(C#N)cc1,317
[*]CC([*])C(=O)OCC(C)C#N,324
[*]CC([*])C(=O)OCCC#N,277
[*]CC([*])C(=O)OC(C)C#N,339
[*]CC([*])(C)C(=O)OCCCCCCCCCCCC,270
[*]CC([*])C(=O)Oc1ccccc1C(=O)OCC,303
[*]CC([*])C(=O)Oc1cccc(C(=O)OCC)c1,297
[*]CC([*])C(=O)OCCCOCC,218
[*]CC([*])C(=O)OCC,249
[*]CC([*])C(=O)OF,288
[*]CC([*])C(=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,243
[*]CC([*])C(=O)OCC(F)(F)C(F)(F)C(=O)C(F)(F)F,218
[*]CC([*])C(=O)OC(C)CCCCC,235
[*]CC([*])C(=O)OCCCCCC,308
[*]CC([*])C(=O)OCCCCCC,216
[*]CC([*])C(=O)OCC(C)C,249
[*]CC([*])C(=O)OCC(C)OC,217
[*]CC([*])C(=O)Oc1cccc(C(=O)OC)c1,311
[*]CC([*])C(=O)Oc1ccc(OC)cc1,324
[*]CC([*])C(=O)Oc1ccc(CCCOC)cc1,198
[*]CC([*])C(=O)OCC(C)CC,241
[*]CC([*])C(=O)OCC(C)CCC,235
[*]CC([*])C(=O)OCC(F)(F)C(F)(F)C(=O)C(F)(F)C(F)(F)F,224
[*]CC([*])C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,236
[*]CC([*])C(=O)OCC(F)(F)C(F)(F)F,247
[*]CC([*])C(=O)OC(CC)CC,267
[*]CC([*])C(=O)OCCC,236
[*]CC([*])C(=O)OCCCCCCCCCCCCCC,297
[*]CC([*])C(=O)OCCC(=O)C(F)(F)C(F)F,251
[*]CC([*])C(=O)Oc1cccc(C)c1,298
[*]CC([*])C(=O)Oc1ccccc1C,325
[*]CC([*])C(=O)OCC(F)(F)F,263
[*]CC([*])C(=O)OCCC(=O)CC(F)(F)F,235
[*]CC([*])C(=O)OCC(F)(F)C(F)(F)C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,205
[*]CC([*])C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,234
[*]CC([*])C(=O)Oc1ccc(C(=O)OCCCC)cc1,286
[*]CC([*])C(=O)Oc1ccc(Cl)cc1Cl,333
[*]CC([*])C(=O)OCCCC#N,233
[*]CC([*])C(=O)OCCC(=O)CC#N,250
[*]CC([*])C(=O)Oc1cccc(N(C)C)c1,320
[*]CC([*])C(=O)OCCOCC,223
[*]CC([*])C(=O)OCC(CC)CC,223
[*]CC([*])C(=O)OCCC(=O)CC(F)(F)C(F)(F)C(F)(F)F,228
[*]CC([*])C(=O)OCCCCCCC,213
[*]CC([*])C(=O)OCC(F)(F)C(F)C(F)(F)F,251
[*]CC([*])C(=O)OC(C)C,270
[*]CC([*])C(=O)Oc1ccccc1C(=O)OC,319
[*]CC([*])C(=O)OCCCCCCCCC,215
[*]CC([*])(C)C(=O)Oc1ccccc1,330
[*]CC([*])C(=O)OCCC(=O)CCC(=O)C(F)(F)C(F)F,233
[*]CC([*])C(=O)Oc1ccc(C)cc1,316
[*]CC([*])C(=O)OCC(C#N)CCCCC,389
[*]CC([*])c2ccc(C(=O)c1ccccc1)cc2,371
[*]CC([*])c1ccccc1C(=O)OCCCC,339
[*]CC([*])c1ccc(C(=O)OCCCC)cc1,349
[*]CC([*])c1cc(C(C)(C)C)ccc1C,360
[*]CC([*])c1ccc(C(C)CCC)cc1,359
[*]CC([*])c1ccc(C(=O)CCC)cc1,347
[*]CC([*])c1ccc(C(=O)N(CC)CC)cc1,375
[*]CC([*])c1ccc(C(=O)OCC)cc1,367
[*]CC([*])c1ccccc1CCOC,347
[*]CC([*])c1ccccc1C(=O)OCCCCCC,318
[*]CC([*])c1ccc(C(=O)OCCCCCC)cc1,339
[*]CC([*])c1ccc(COCC(O)CC)cc1,319
[*]CC([*])c2ccc(/C(Cc1ccccc1)=N/O)cc2,384
[*]CC([*])c1ccc(C(=O)OCC(C)C)cc1,363
[*]CC([*])c1ccccc1C(=O)OCC(C)(C)C,341
[*]CC([*])c1ccccc1COCC(C)(C)C,351
[*]CC([*])c1ccc(C(=O)OC(C)C)cc1,368
[*]CC([*])c1ccccc1COC(C)C,361
[*]CC([*])c1ccc(C(=O)CCCCCCC)cc1,323
[*]CC([*])c2ccc(C(=O)Cc1ccccc1)cc2,351
[*]CC([*])c1ccc(C(=O)OCCC)cc1,365
[*]CC([*])c1ccc(OCCC)cc1,343
[*]CC([*])c2ccc(c1ccc(C)cc1)cc2,372
[*]CC([*])c2ccc(Cc1ccc(OC)cc1)cc2,376
[*]CC([*])c1ccc(C(C)(O)CCCCC)cc1,364
[*]CC([*])c1ccc(OC)cc1C,358
[*]CC([*])c1ccccc1OC,348
[*]CC([*])c2ccc(Oc1ccccc1)cc2,373
[*]CC([*])c1ccccc1,373
[*]CC([*])c1ccc(cc1)F,376
[*]CC([*])c1cc(F)ccc1F,374
[*]CC([*])c1ccc(cc1)Cl,398
[*]CC([*])C(=O)O,374
[*]CC([*])C(=O)OCC(F)(F)C(F)F,249
[*]CC([*])C(=O)OC(C)(C)C,311
[*]CC([*])C(=O)OCCCCCCCCCCCCCCCCCCCCCCCCCC,311
[*]CC([*])C(=O)OCCCCCCCC,208
[*]CC([*])C(=O)OCC(CC)CCCC,221
[*]CC([*])C(=O)OC1CCCCC1,289
[*]CC([*])C(=O)OCC#N,296
[*]CC([*])(Cl)C(=O)OCC,366
[*]CC([*])(Cl)C(=O)OCCCC,330
[*]CC([*])C(=O)NC(C)(C)C,401
[*]CC([*])C(=O)NCCCCCCCC,220
[*]CC([*])C(=O)NC(C)C,403
[*]CC([*])C(=N)O,438
[*]CC([*])C#N,383
[*]CC([*])(C)C#N,388
[*]CC([*])(C#N)C(=O)OCCCC,374
[*]CC([*])(C#N)C(=O)OCCCCCC,359
[*]CC([*])(F)F,242
[*]C(Cl)(F)C([*])(F)F,360
[*]C(=O)c1ccc(cc1)C(=O)OCCCO[*],327
[*]C(=O)CCC(=O)OCCCO[*],232
[*]OC(=O)CCCCC(=O)OCCCO[*],215
[*]C(=O)C(O([*]))C,332
[*]C(C)CC(=O)O[*],276
[*]C(=O)CCC(=O)OCCCCCCO[*],220
[*]C(=O)CCCCCCCCC(=O)OCCCCCCO[*],213
[*]C(=O)COC(=O)CO[*],312
[*]C(=O)c1ccc(cc1)C(=O)OCCO[*],344
[*]C(=O)c1ccccc1C(=O)OCCO[*],297
[*]C(=O)c1cccc(c1)C(=O)OCCO[*],324
[*]C(=O)c1ccc(cc1)C(=O)OCC1CCC(CC1)CO[*],364
[*]C(=O)CCCCCO[*],208
[*]C(=O)CCC(=O)OCCO[*],267
[*]C(=O)CCCCCCCCC(=O)OCCO[*],244
[*]C(=O)c1ccc(cc1)C(=O)OCCCCO[*],313
[*]C(=O)CCCCCCCCC(=O)OCCCCO[*],214
[*]C(=O)c1cccc(c1)C(=O)OCCCCO[*],297
[*]C(=O)CCCCC(=O)OCCCCO[*],202
[*]C(=O)c1cc(ccc1)C(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O[*],462
[*]CC(CO([*]))(CCl)CCl,272
[*]CCCO[*],197
[*]CCCCO[*],189
[*]C(C)CO[*],200
[*]CCOCO[*],209
[*]CC(O[*])COCCCCCC,189
[*]CCCCCOC[*],204
[*]OCC[*],225
[*]CC(O([*]))CCl,252
[*]CC(O([*]))COCCCC,194
[*]CO[*],211
[*]Oc1ccc(cc1)c1ccc(cc1)Oc1ccc(cc1)S(=O)(=O)c1ccc([*])(cc1),482
[*]c1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)O[*],489
[*]Oc1ccc(cc1)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)[*],479
[*]C(C)C=CO[*],312
[*]CC=CC[*],268
[*]CC=CC([*])CC,197
[*]CCC=CC[*],204
[*]C(CC1)=C([*])C1,178
[*]NCCCCCCCCCNC(=O)c1ccc(cc1)C(=O)[*],394
[*]Nc1cc(ccc1)NC(=O)c1cc(ccc1)C(=O)[*],537
[*]Nc1ccc(cc1)NC(=O)c1ccc(cc1)C(=O)[*],600
[*]C(=O)CCCCCCCCC(=O)NCCCCCCCCCCN[*],323
[*]NCCCCCCNC(=O)CCCCCCCCCCC(=O)[*],319
[*]C(=O)CCCCCCCCC(=O)NCCCCCCN[*],323
[*]C(=O)CCCCCCCC(=O)NCCCCCCN[*],332
[*]NCCCCCCNC(=O)CCCCC(=O)[*],324
[*]NCCCCCCCCCCCC(=O)[*],313
[*]NCCCCCCCCCC(=O)[*],315
[*]C(=O)CCCCCN[*],324
[*]CCN([*])C=O,384
[*]OCC([*])COC,211
[*]OC=C([*])C,291
[*]CC([*])c1ccc(CCOC)cc1,359
[*]CC([*])C(=O)Oc2ccc(c1ccccc1)cc2,383
[*]CC([*])C(=O)Oc1ccccc1,326
[*]CC([*])C(=O)OCCCOCC,218
[*]CC([*])C(=O)OCC(C)C,249
[*]CC([*])C(=O)OCC(F)(F)C(F)(F)C(=O)C(F)(F)C(F)(F)F,224
[*]CC([*])C(=O)OCC(F)(F)C(F)(F)C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,205
[*]CC([*])C(=O)Oc1ccc(Cl)cc1Cl,333
[*]CC([*])C(=O)OC(C)C,270
[*]CC([*])c1ccc(CCOC)cc1,359
[*]CC([*])c1ccc(C(=O)OC(C)C)cc1,368
[*]CC([*])c2ccc(Cc1ccc(OC)cc1)cc2,376
[*]CC([*])C(=O)OCc1ccccc1,279
[*]CC([*])C(=O)OCC(C)C(C)CC,258
[*]CC([*])C(=O)OCCC(C)C,228
[*]C(C)C([*])C(=O)OCCc1ccccc1,270
[*]CC([*])C(=O)Oc1ccc(C(=O)OCC)cc1,310
[*]CC([*])c1ccc(COC)cc1,350
[*]CC([*])c1ccc(cc1)Br,411
[*]CC([*])C(=O)NC(C)CC,390
[*]CC([*])(C#N)C(=O)OCCCCCCCC,322
[*]C(=O)c1ccc2c(c1)ccc(c2)C(=O)OCCO[*],392
[*]C(=O)CCC(=O)OCCCCO[*],237
[*]CC([*])C(=O)OC(F)(C(F)(F)F)C(F)(F)F,283
[*]CC([*])(Cl)C(=O)OCCC,344
